event,date,weight_class_lbs,method,round,time,fighter_1,fighter_1_age,fighter_1_height_in,fighter_1_reach_in,fighter_2,fighter_2_age,fighter_2_height_in,fighter_2_reach_in,winner
UFC 1: The Beginning,1993-11-12,,Submission,1.0,1:44,Royce Gracie,26.0,72.0,,Gerard Gordeau,38.0,77.0,,fighter_1
UFC 1: The Beginning,1993-11-12,,Submission,1.0,0:52,Jason DeLucia,24.0,71.0,,Trent Jenkins,,74.0,,fighter_1
UFC 1: The Beginning,1993-11-12,,Submission,1.0,0:57,Royce Gracie,26.0,72.0,,Ken Shamrock,29.0,73.0,,fighter_1
UFC 1: The Beginning,1993-11-12,,KO/TKO,1.0,0:59,Gerard Gordeau,38.0,77.0,,Kevin Rosier,31.0,76.0,,fighter_1
UFC 1: The Beginning,1993-11-12,,Submission,1.0,1:49,Ken Shamrock,29.0,73.0,72.4,Patrick Smith,30.0,74.0,,fighter_1
UFC 1: The Beginning,1993-11-12,,Submission,1.0,2:18,Royce Gracie,26.0,72.0,,Art Jimmerson,30.0,73.0,,fighter_1
UFC 1: The Beginning,1993-11-12,,KO/TKO,1.0,4:20,Kevin Rosier,31.0,76.0,79.1,Zane Frazier,,78.0,,fighter_1
UFC 1: The Beginning,1993-11-12,,KO/TKO,1.0,0:26,Gerard Gordeau,38.0,77.0,,Teila Tuli,24.0,74.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,1:17,Royce Gracie,27.0,72.0,,Patrick Smith,30.0,74.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,1:31,Royce Gracie,27.0,72.0,,Remco Pardoel,24.0,74.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,1:07,Patrick Smith,30.0,74.0,,Johnny Rhodes,,72.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,1:07,Royce Gracie,27.0,72.0,,Jason DeLucia,24.0,71.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,KO/TKO,1.0,1:29,Remco Pardoel,24.0,74.0,,Orlando Wiet,28.0,70.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,3:07,Johnny Rhodes,,72.0,,Fred Ettish,38.0,72.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,KO/TKO,1.0,0:30,Patrick Smith,30.0,74.0,,Scott Morris,,72.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,5:08,Royce Gracie,27.0,72.0,,Minoki Ichihara,25.0,67.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,KO/TKO,1.0,6:41,Jason DeLucia,24.0,71.0,,Scott Baker,,72.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,9:51,Remco Pardoel,24.0,74.0,,Alberto Cerra Leon,,68.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,KO/TKO,1.0,2:50,Orlando Wiet,28.0,70.0,,Robert Lucarelli,,74.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,4:52,Freek Hamaker,,74.0,,Thaddeus Luster,,75.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,12:13,Johnny Rhodes,,72.0,,David Levicki,,77.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,0:58,Patrick Smith,30.0,74.0,,Ray Wizard,,70.0,,fighter_1
UFC 2: No Way Out,1994-03-11,,Submission,1.0,0:20,Scott Morris,,72.0,,Sean Daugherty,18.0,70.0,,fighter_1
UFC 3: The American Dream,1994-09-09,,Submission,1.0,1:27,Steve Jennum,30.0,70.0,,Harold Howard,,74.0,,fighter_1
UFC 3: The American Dream,1994-09-09,,Submission,1.0,4:34,Ken Shamrock,30.0,73.0,72.4,Felix Mitchell,,71.0,,fighter_1
UFC 3: The American Dream,1994-09-09,,Submission,1.0,4:40,Royce Gracie,27.0,72.0,,Kimo Leopoldo,26.0,75.0,,fighter_1
UFC 3: The American Dream,1994-09-09,,KO/TKO,1.0,0:46,Harold Howard,,74.0,,Roland Payne,,69.0,,fighter_1
UFC 3: The American Dream,1994-09-09,,Submission,1.0,4:49,Ken Shamrock,30.0,73.0,72.4,Cristophe Leninger,,72.0,,fighter_1
UFC 3: The American Dream,1994-09-09,,KO/TKO,1.0,1:59,Keith Hackney,36.0,71.0,,Emmanuel Yarborough,34.0,80.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,Submission,1.0,15:49,Royce Gracie,28.0,72.0,,Dan Severn,36.0,74.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,KO/TKO,1.0,2:13,Guy Mezger,26.0,73.0,,Jason Fairn,,73.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,Submission,1.0,0:52,Dan Severn,36.0,74.0,,Marcus Bossett,,73.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,Submission,1.0,5:32,Royce Gracie,28.0,72.0,,Keith Hackney,36.0,71.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,Submission,1.0,1:45,Dan Severn,36.0,74.0,,Anthony Macias,,70.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,Submission,1.0,4:47,Steve Jennum,31.0,70.0,,Melton Bowen,25.0,72.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,Submission,1.0,2:44,Keith Hackney,36.0,71.0,,Joe Son,24.0,64.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,Submission,1.0,3:59,Royce Gracie,28.0,72.0,,Ron Van Clief,51.0,70.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,KO/TKO,1.0,4:55,Marcus Bossett,,73.0,,Eldo Dias Xavier,,71.0,,fighter_1
UFC 4: Revenge of the Warriors,1994-12-16,,Submission,1.0,0:14,Joe Charles,,73.0,,Kevin Rosier,32.0,76.0,,fighter_1
UFC 5: Return of the Beast,1995-04-07,,Submission,1.0,3:01,Dan Severn,36.0,74.0,,Dave Beneteau,,74.0,,fighter_1
UFC 5: Return of the Beast,1995-04-07,,Other,,36:00,Ken Shamrock,31.0,73.0,72.4,Royce Gracie,28.0,72.0,,draw
UFC 5: Return of the Beast,1995-04-07,,KO/TKO,1.0,4:21,Dan Severn,36.0,74.0,,Oleg Taktarov,26.0,72.0,,fighter_1
UFC 5: Return of the Beast,1995-04-07,,KO/TKO,1.0,2:12,Dave Beneteau,,74.0,,Todd Medina,24.0,70.0,,fighter_1
UFC 5: Return of the Beast,1995-04-07,,Submission,1.0,1:38,Dan Severn,36.0,74.0,,Joe Charles,,73.0,,fighter_1
UFC 5: Return of the Beast,1995-04-07,,Submission,1.0,2:23,Oleg Taktarov,26.0,72.0,,Ernie Verdicia,,70.0,,fighter_1
UFC 5: Return of the Beast,1995-04-07,,KO/TKO,1.0,2:55,Todd Medina,24.0,70.0,,Larry Cureton,,74.0,,fighter_1
UFC 5: Return of the Beast,1995-04-07,,KO/TKO,1.0,1:23,Jon Hess,,79.0,,Andy Anderson,,66.0,,fighter_1
UFC 5: Return of the Beast,1995-04-07,,KO/TKO,1.0,0:21,Dave Beneteau,,74.0,,Asbel Cancio,,70.0,,fighter_1
UFC 5: Return of the Beast,1995-04-07,,KO/TKO,1.0,2:02,Guy Mezger,27.0,73.0,,John Dowdy,,74.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,Submission,1.0,17:45,Oleg Taktarov,27.0,72.0,,David Abbott,30.0,72.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,Submission,1.0,2:14,Ken Shamrock,31.0,73.0,72.4,Dan Severn,37.0,74.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,Submission,1.0,0:09,Oleg Taktarov,27.0,72.0,,Anthony Macias,,70.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,KO/TKO,1.0,1:53,David Abbott,30.0,72.0,,Paul Varelans,25.0,80.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,Submission,1.0,0:57,Oleg Taktarov,27.0,72.0,,Dave Beneteau,,74.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,Submission,1.0,1:08,Patrick Smith,31.0,74.0,,Rudyard Moncayo,22.0,70.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,KO/TKO,1.0,1:02,Paul Varelans,25.0,80.0,,Cal Worsham,32.0,70.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,KO/TKO,1.0,0:20,David Abbott,30.0,72.0,,John Matua,,74.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,Submission,1.0,3:06,Anthony Macias,,70.0,,He-Man Gipson,22.0,73.0,,fighter_1
UFC 6: Clash of the Titans,1995-07-14,,Submission,1.0,2:01,Joel Sutton,26.0,70.0,,Jack McGlaughlin,33.0,70.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,KO/TKO,1.0,13:17,Marco Ruas,34.0,73.0,,Paul Varelans,25.0,80.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,Other,,33:00,Ken Shamrock,31.0,73.0,72.4,Oleg Taktarov,27.0,72.0,,draw
UFC 7: The Brawl in Buffalo,1995-09-08,,Submission,1.0,12:27,Marco Ruas,34.0,73.0,,Remco Pardoel,26.0,74.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,Submission,1.0,1:04,Paul Varelans,25.0,80.0,,Mark Hall,34.0,72.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,Submission,1.0,3:23,Marco Ruas,34.0,73.0,,Larry Cureton,,74.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,Submission,1.0,3:05,Remco Pardoel,26.0,74.0,,Ryan Parker,,75.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,Submission,1.0,1:07,Paul Varelans,25.0,80.0,,Gerry Harris,,80.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,Submission,1.0,1:41,Mark Hall,34.0,72.0,,Harold Howard,,74.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,Submission,1.0,0:31,Scott Bessac,29.0,76.0,,David Hood,,72.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,Submission,1.0,5:26,Onassis Parungao,,71.0,,Francesco Maturi,,71.0,,fighter_1
UFC 7: The Brawl in Buffalo,1995-09-08,,KO/TKO,1.0,0:48,Joel Sutton,26.0,70.0,,Geza Kalman,,70.0,,fighter_1
UFC 7.5: Ultimate Ultimate 1995,1995-12-16,,Decision,,30:00,Dan Severn,37.0,74.0,,Oleg Taktarov,27.0,72.0,,fighter_1
UFC 7.5: Ultimate Ultimate 1995,1995-12-16,,Decision,,18:00,Dan Severn,37.0,74.0,,David Abbott,30.0,72.0,,fighter_1
UFC 7.5: Ultimate Ultimate 1995,1995-12-16,,Decision,,18:00,Oleg Taktarov,27.0,72.0,,Marco Ruas,34.0,73.0,,fighter_1
UFC 7.5: Ultimate Ultimate 1995,1995-12-16,,Submission,1.0,1:14,David Abbott,30.0,72.0,,Steve Jennum,32.0,70.0,,fighter_1
UFC 7.5: Ultimate Ultimate 1995,1995-12-16,,Submission,1.0,1:40,Dan Severn,37.0,74.0,,Paul Varelans,26.0,80.0,,fighter_1
UFC 7.5: Ultimate Ultimate 1995,1995-12-16,,Submission,1.0,2:39,Marco Ruas,34.0,73.0,,Keith Hackney,37.0,71.0,,fighter_1
UFC 7.5: Ultimate Ultimate 1995,1995-12-16,,Submission,1.0,1:15,Oleg Taktarov,27.0,72.0,,Dave Beneteau,,74.0,,fighter_1
UFC 7.5: Ultimate Ultimate 1995,1995-12-16,,Submission,1.0,5:29,Mark Hall,34.0,72.0,,Trent Jenkins,,74.0,,fighter_1
UFC 7.5: Ultimate Ultimate 1995,1995-12-16,,Submission,1.0,4:38,Joe Charles,,73.0,,Scott Bessac,30.0,76.0,,fighter_1
UFC 8: David vs Goliath,1996-02-16,,Submission,1.0,2:14,Don Frye,30.0,73.0,,Gary Goodridge,30.0,75.0,,fighter_1
UFC 8: David vs Goliath,1996-02-16,,Submission,1.0,4:24,Ken Shamrock,32.0,73.0,72.4,Kimo Leopoldo,28.0,75.0,,fighter_1
UFC 8: David vs Goliath,1996-02-16,,KO/TKO,1.0,5:31,Gary Goodridge,30.0,75.0,,Jerry Bohlander,21.0,71.0,,fighter_1
UFC 8: David vs Goliath,1996-02-16,,KO/TKO,1.0,0:48,Don Frye,30.0,73.0,,Sam Adkins,30.0,75.0,,fighter_1
UFC 8: David vs Goliath,1996-02-16,,KO/TKO,1.0,0:13,Gary Goodridge,30.0,75.0,,Paul Herrera,31.0,70.0,,fighter_1
UFC 8: David vs Goliath,1996-02-16,,Submission,1.0,9:03,Jerry Bohlander,21.0,71.0,,Scott Ferrozzo,30.0,71.0,,fighter_1
UFC 8: David vs Goliath,1996-02-16,,Decision,,10:00,Paul Varelans,26.0,80.0,,Joe Moreira,34.0,71.0,,fighter_1
UFC 8: David vs Goliath,1996-02-16,,KO/TKO,1.0,0:08,Don Frye,30.0,73.0,,Thomas Ramirez,,73.0,,fighter_1
UFC 8: David vs Goliath,1996-02-16,,Submission,1.0,0:50,Sam Adkins,30.0,75.0,,Keith Mielke,,69.0,,fighter_1
UFC 9: Motor City Madness,1996-05-17,,Decision,,30:00,Dan Severn,37.0,74.0,,Ken Shamrock,32.0,73.0,,fighter_1
UFC 9: Motor City Madness,1996-05-17,,KO/TKO,1.0,9:22,Don Frye,30.0,73.0,,Amaury Bitetti,27.0,69.0,,fighter_1
UFC 9: Motor City Madness,1996-05-17,,KO/TKO,1.0,0:40,Mark Hall,35.0,72.0,,Koji Kitao,36.0,79.0,,fighter_1
UFC 9: Motor City Madness,1996-05-17,,KO/TKO,1.0,12:00,Mark Schultz,35.0,70.0,,Gary Goodridge,30.0,75.0,,fighter_1
UFC 9: Motor City Madness,1996-05-17,,KO/TKO,1.0,5:32,Rafael Carino,,80.0,,Matt Andersen,24.0,74.0,,fighter_1
UFC 9: Motor City Madness,1996-05-17,,KO/TKO,1.0,3:14,Cal Worsham,32.0,70.0,,Zane Frazier,,78.0,,fighter_1
UFC 9: Motor City Madness,1996-05-17,,KO/TKO,1.0,7:25,Steve Nelmark,,72.0,,Tai Bowden,,71.0,,fighter_1
UFC 10: The Tournament,1996-07-12,,KO/TKO,1.0,11:34,Mark Coleman,31.0,73.0,75.5,Don Frye,30.0,73.0,,fighter_1
UFC 10: The Tournament,1996-07-12,,Submission,1.0,7:00,Mark Coleman,31.0,73.0,75.5,Gary Goodridge,30.0,75.0,,fighter_1
UFC 10: The Tournament,1996-07-12,,Submission,1.0,4:37,Don Frye,30.0,73.0,,Brian Johnston,27.0,76.0,,fighter_1
UFC 10: The Tournament,1996-07-12,,KO/TKO,1.0,1:28,Gary Goodridge,30.0,75.0,,John Campatella,,69.0,,fighter_1
UFC 10: The Tournament,1996-07-12,,Submission,1.0,2:43,Mark Coleman,31.0,73.0,75.5,Moti Horenstein,32.0,74.0,,fighter_1
UFC 10: The Tournament,1996-07-12,,Submission,1.0,2:25,Brian Johnston,27.0,76.0,,Scott Fiedler,,76.0,,fighter_1
UFC 10: The Tournament,1996-07-12,,KO/TKO,1.0,10:21,Don Frye,30.0,73.0,,Mark Hall,35.0,72.0,,fighter_1
UFC 10: The Tournament,1996-07-12,,Decision,,10:00,Sam Adkins,31.0,75.0,,Felix Mitchell,,71.0,,fighter_1
UFC 10: The Tournament,1996-07-12,,KO/TKO,1.0,5:57,Geza Kalman,,70.0,,Dieusel Berto,,69.0,,fighter_1
UFC 11: The Proving Ground,1996-09-20,,Decision,,15:00,Scott Ferrozzo,31.0,71.0,,David Abbott,31.0,72.0,,fighter_1
UFC 11: The Proving Ground,1996-09-20,,Submission,1.0,2:20,Mark Coleman,31.0,73.0,75.5,Brian Johnston,28.0,76.0,,fighter_1
UFC 11: The Proving Ground,1996-09-20,,Decision,,15:00,Jerry Bohlander,21.0,71.0,,Fabio Gurgel,26.0,72.0,,fighter_1
UFC 11: The Proving Ground,1996-09-20,,Submission,1.0,2:06,David Abbott,31.0,72.0,,Sam Adkins,31.0,75.0,,fighter_1
UFC 11: The Proving Ground,1996-09-20,,KO/TKO,1.0,0:28,Brian Johnston,28.0,76.0,,Reza Nasri,,71.0,,fighter_1
UFC 11: The Proving Ground,1996-09-20,,Submission,1.0,0:45,Mark Coleman,31.0,73.0,75.5,Julian Sanchez,,75.0,,fighter_1
UFC 11: The Proving Ground,1996-09-20,,Submission,1.0,1:23,Roberto Traven,28.0,75.0,,Dave Berry,,73.0,,fighter_1
UFC 11: The Proving Ground,1996-09-20,,Submission,1.0,1:45,Scott Ferrozzo,31.0,71.0,,Sam Fulton,,74.0,,fighter_1
UFC 11.5: Ultimate Ultimate 1996,1996-12-07,,Submission,1.0,1:22,Don Frye,31.0,73.0,,David Abbott,31.0,72.0,,fighter_1
UFC 11.5: Ultimate Ultimate 1996,1996-12-07,,KO/TKO,1.0,1:03,David Abbott,31.0,72.0,,Steve Nelmark,,72.0,,fighter_1
UFC 11.5: Ultimate Ultimate 1996,1996-12-07,,Submission,1.0,0:20,Don Frye,31.0,73.0,,Mark Hall,35.0,72.0,,fighter_1
UFC 11.5: Ultimate Ultimate 1996,1996-12-07,,Submission,1.0,5:48,Ken Shamrock,32.0,73.0,72.4,Brian Johnston,28.0,76.0,,fighter_1
UFC 11.5: Ultimate Ultimate 1996,1996-12-07,,Submission,1.0,2:51,David Abbott,31.0,72.0,,Cal Worsham,33.0,70.0,,fighter_1
UFC 11.5: Ultimate Ultimate 1996,1996-12-07,,Submission,1.0,11:19,Don Frye,31.0,73.0,,Gary Goodridge,30.0,75.0,,fighter_1
UFC 11.5: Ultimate Ultimate 1996,1996-12-07,,KO/TKO,1.0,9:08,Kimo Leopoldo,28.0,75.0,,Paul Varelans,27.0,80.0,,fighter_1
UFC 11.5: Ultimate Ultimate 1996,1996-12-07,,KO/TKO,1.0,1:45,Mark Hall,35.0,72.0,,Felix Mitchell,,71.0,,fighter_1
UFC 11.5: Ultimate Ultimate 1996,1996-12-07,,Submission,1.0,1:37,Steve Nelmark,,72.0,,Marcus Bossett,,73.0,,fighter_1
UFC 11.5: Ultimate Ultimate 1996,1996-12-07,,Submission,1.0,4:46,Tai Bowden,,71.0,,Jack Nilson,,75.0,,fighter_1
UFC 12: Judgement Day,1997-02-07,265.0,Submission,1.0,2:57,Mark Coleman,32.0,73.0,75.5,Dan Severn,38.0,74.0,,fighter_1
UFC 12: Judgement Day,1997-02-07,265.0,KO/TKO,1.0,0:43,Vitor Belfort,19.0,72.0,74.0,Scott Ferrozzo,31.0,71.0,,fighter_1
UFC 12: Judgement Day,1997-02-07,199.0,Submission,1.0,0:39,Jerry Bohlander,22.0,71.0,,Nick Sanzo,34.0,69.0,,fighter_1
UFC 12: Judgement Day,1997-02-07,265.0,KO/TKO,1.0,8:02,Scott Ferrozzo,31.0,71.0,,Jim Mullen,,73.0,,fighter_1
UFC 12: Judgement Day,1997-02-07,265.0,KO/TKO,1.0,1:17,Vitor Belfort,19.0,72.0,74.0,Tra Telligman,32.0,74.0,,fighter_1
UFC 12: Judgement Day,1997-02-07,199.0,Decision,,15:00,Kazuo Takahashi,27.0,70.0,,Wallid Ismail,32.0,67.0,,fighter_1
UFC 12: Judgement Day,1997-02-07,199.0,Submission,1.0,1:18,Jerry Bohlander,22.0,71.0,,Rainy Martinez,,72.0,,fighter_1
UFC 12: Judgement Day,1997-02-07,265.0,Submission,1.0,0:14,Justin Martin,,72.0,,Eric Martin,,76.0,,fighter_1
UFC 12: Judgement Day,1997-02-07,199.0,KO/TKO,1.0,0:48,Nick Sanzo,34.0,69.0,,Jackie Lee,,68.0,,fighter_1
UFC 13: Ultimate Force,1997-05-30,265.0,KO/TKO,1.0,0:52,Vitor Belfort,20.0,72.0,74.0,David Abbott,32.0,72.0,,fighter_1
UFC 13: Ultimate Force,1997-05-30,265.0,KO/TKO,1.0,3:13,Randy Couture,33.0,73.0,75.0,Steven Graham,,73.0,,fighter_1
UFC 13: Ultimate Force,1997-05-30,199.0,Submission,1.0,3:00,Guy Mezger,29.0,73.0,,Tito Ortiz,22.0,75.0,,fighter_1
UFC 13: Ultimate Force,1997-05-30,265.0,Submission,1.0,0:56,Randy Couture,33.0,73.0,75.0,Tony Halme,34.0,76.0,,fighter_1
UFC 13: Ultimate Force,1997-05-30,265.0,Submission,1.0,1:30,Steven Graham,,73.0,,Dmitriy Stepanov,,75.0,,fighter_1
UFC 13: Ultimate Force,1997-05-30,199.0,Submission,1.0,1:36,Enson Inoue,30.0,70.0,,Royce Alger,32.0,70.0,,fighter_1
UFC 13: Ultimate Force,1997-05-30,199.0,Decision,,15:00,Guy Mezger,29.0,73.0,,Cristophe Leninger,,72.0,,fighter_1
UFC 13: Ultimate Force,1997-05-30,199.0,KO/TKO,1.0,1:23,Jack Nilson,,75.0,,Saeed Hosseini,,76.0,,fighter_1
UFC 13: Ultimate Force,1997-05-30,199.0,KO/TKO,1.0,0:31,Tito Ortiz,22.0,75.0,74.0,Wes Albritton,,70.0,,fighter_1
UFC 14: Showdown,1997-07-27,265.0,Decision,,21:00,Maurice Smith,35.0,74.0,,Mark Coleman,32.0,73.0,,fighter_1
UFC 14: Showdown,1997-07-27,265.0,Submission,1.0,1:38,Mark Kerr,28.0,75.0,,Dan Bobish,27.0,73.0,,fighter_1
UFC 14: Showdown,1997-07-27,199.0,Submission,1.0,0:44,Kevin Jackson,32.0,70.0,,Tony Fryklund,26.0,72.0,,fighter_1
UFC 14: Showdown,1997-07-27,265.0,KO/TKO,1.0,2:22,Mark Kerr,28.0,75.0,,Moti Horenstein,33.0,74.0,,fighter_1
UFC 14: Showdown,1997-07-27,265.0,KO/TKO,1.0,2:10,Dan Bobish,27.0,73.0,,Brian Johnston,28.0,76.0,,fighter_1
UFC 14: Showdown,1997-07-27,199.0,KO/TKO,1.0,1:27,Kevin Jackson,32.0,70.0,,Todd Butler,,73.0,,fighter_1
UFC 14: Showdown,1997-07-27,199.0,Decision,,15:00,Joe Moreira,36.0,71.0,,Yuri Vaulin,33.0,76.0,,fighter_1
UFC 14: Showdown,1997-07-27,265.0,KO/TKO,1.0,2:22,Alex Hunter,,69.0,,Sam Fulton,,74.0,,fighter_1
UFC 14: Showdown,1997-07-27,199.0,Submission,1.0,1:31,Tony Fryklund,26.0,72.0,68.0,Donnie Chappell,,71.0,,fighter_1
UFC 15: Collision Course,1997-10-17,265.0,Submission,1.0,8:08,Maurice Smith,35.0,74.0,,David Abbott,32.0,72.0,,fighter_1
UFC 15: Collision Course,1997-10-17,265.0,Submission,1.0,0:53,Mark Kerr,28.0,75.0,,Dwayne Cason,,70.0,,fighter_1
UFC 15: Collision Course,1997-10-17,265.0,KO/TKO,1.0,8:16,Randy Couture,34.0,73.0,75.0,Vitor Belfort,20.0,72.0,74.0,fighter_1
UFC 15: Collision Course,1997-10-17,265.0,Decision,,15:00,Dave Beneteau,,74.0,,Carlos Barreto,29.0,76.0,,fighter_1
UFC 15: Collision Course,1997-10-17,265.0,KO/TKO,1.0,0:17,Mark Kerr,28.0,75.0,,Greg Stott,,67.0,,fighter_1
UFC 15: Collision Course,1997-10-17,265.0,KO/TKO,1.0,3:43,Dwayne Cason,,70.0,,Houston Dorr,,72.0,,fighter_1
UFC 15: Collision Course,1997-10-17,265.0,Decision,,10:00,Alex Hunter,,69.0,,Harry Moskowitz,,77.0,,fighter_1
UFC 15.5: Ultimate Japan,1997-12-21,265.0,Decision,,21:00,Randy Couture,34.0,73.0,75.0,Maurice Smith,36.0,74.0,,fighter_1
UFC 15.5: Ultimate Japan,1997-12-21,265.0,Submission,1.0,3:44,Kazushi Sakuraba,28.0,71.0,,Marcus Silveira,33.0,75.0,,fighter_1
UFC 15.5: Ultimate Japan,1997-12-21,265.0,Submission,1.0,4:03,Vitor Belfort,20.0,72.0,74.0,Joe Charles,,73.0,,fighter_1
UFC 15.5: Ultimate Japan,1997-12-21,199.0,Submission,1.0,0:16,Frank Shamrock,25.0,70.0,,Kevin Jackson,33.0,70.0,,fighter_1
UFC 15.5: Ultimate Japan,1997-12-21,265.0,Submission,1.0,1:51,Kazushi Sakuraba,28.0,71.0,,Marcus Silveira,33.0,75.0,,no_contest
UFC 15.5: Ultimate Japan,1997-12-21,265.0,Decision,,15:00,David Abbott,32.0,72.0,,Yoji Anjo,30.0,71.0,,fighter_1
UFC 15.5: Ultimate Japan,1997-12-21,265.0,Submission,1.0,10:05,Tra Telligman,32.0,74.0,,Brad Kohler,33.0,69.0,,fighter_1
UFC 16: Battle in the Bayou,1998-03-13,170.0,Submission,1.0,4:20,Chris Brennan,26.0,68.0,72.0,Courtney Turner,,74.0,,fighter_1
UFC 16: Battle in the Bayou,1998-03-13,199.0,KO/TKO,1.0,0:22,Frank Shamrock,25.0,70.0,,Igor Zinoviev,31.0,73.0,,fighter_1
UFC 16: Battle in the Bayou,1998-03-13,265.0,Decision,,15:00,Tsuyoshi Kosaka,28.0,71.0,,Kimo Leopoldo,30.0,75.0,,fighter_1
UFC 16: Battle in the Bayou,1998-03-13,199.0,Submission,1.0,10:23,Jerry Bohlander,23.0,71.0,,Kevin Jackson,33.0,70.0,,fighter_1
UFC 16: Battle in the Bayou,1998-03-13,170.0,Decision,,15:00,Pat Miletich,30.0,70.0,,Townsend Saunders,,65.0,,fighter_1
UFC 16: Battle in the Bayou,1998-03-13,170.0,KO/TKO,1.0,9:45,Mikey Burnett,23.0,66.0,,Eugenio Tadeu,34.0,68.0,,fighter_1
UFC 16: Battle in the Bayou,1998-03-13,170.0,Submission,1.0,9:02,Pat Miletich,30.0,70.0,,Chris Brennan,26.0,68.0,,fighter_1
UFC 16: Battle in the Bayou,1998-03-13,170.0,KO/TKO,1.0,1:15,LaVerne Clark,24.0,71.0,,Josh Stuart,,69.0,,fighter_1
UFC 17: Redemption,1998-05-15,199.0,Submission,1.0,16:28,Frank Shamrock,25.0,70.0,,Jeremy Horn,22.0,73.0,,fighter_1
UFC 17: Redemption,1998-05-15,265.0,KO/TKO,1.0,12:38,Pete Williams,22.0,75.0,,Mark Coleman,33.0,73.0,,fighter_1
UFC 17: Redemption,1998-05-15,199.0,Decision,,15:00,Dan Henderson,27.0,71.0,74.0,Carlos Newton,21.0,69.0,,fighter_1
UFC 17: Redemption,1998-05-15,265.0,KO/TKO,1.0,0:43,David Abbott,33.0,72.0,,Hugo Duarte,29.0,72.0,,fighter_1
UFC 17: Redemption,1998-05-15,265.0,Submission,1.0,11:01,Mike Van Arsdale,32.0,74.0,,Joe Pardo,,73.0,,fighter_1
UFC 17: Redemption,1998-05-15,199.0,Submission,1.0,0:52,Carlos Newton,21.0,69.0,,Bob Gilstrap,,75.0,,fighter_1
UFC 17: Redemption,1998-05-15,199.0,Decision,,15:00,Dan Henderson,27.0,71.0,74.0,Allan Goes,27.0,72.0,,fighter_1
UFC 17: Redemption,1998-05-15,265.0,KO/TKO,1.0,3:15,Andre Roberts,33.0,74.0,,Harry Moskowitz,,77.0,,fighter_1
UFC 17: Redemption,1998-05-15,199.0,Decision,,12:00,Chuck Liddell,28.0,74.0,76.5,Noe Hernandez,,,,fighter_1
UFC 17.5: Ultimate Brazil,1998-10-16,199.0,Submission,1.0,7:40,Frank Shamrock,25.0,70.0,,John Lober,30.0,71.0,,fighter_1
UFC 17.5: Ultimate Brazil,1998-10-16,199.0,KO/TKO,1.0,0:44,Vitor Belfort,21.0,72.0,74.0,Wanderlei Silva,22.0,71.0,74.0,fighter_1
UFC 17.5: Ultimate Brazil,1998-10-16,265.0,KO/TKO,1.0,8:07,Pedro Rizzo,24.0,73.0,,David Abbott,33.0,72.0,,fighter_1
