date,event,corner_a,corner_b,elo_diff,win_total_diff,loss_total_diff,win_streak_diff,loss_streak_diff,finish_rate_diff,avg_opponent_elo_diff,layoff_days_diff,age_diff,height_in_diff,reach_in_diff,a_won
1994-12-16,UFC 4: Revenge of the Warriors,Melton Bowen,Steve Jennum,-16.0,-1,0,-1,0,-1.0,0.0,-98,-6.0,2.0,,0
1994-12-16,UFC 4: Revenge of the Warriors,Joe Son,Keith Hackney,-4.675657406884966,-1,-1,0,-1,-0.5,-60.28926556624765,0,-12.0,-7.0,,0
1994-12-16,UFC 4: Revenge of the Warriors,Ron Van Clief,Royce Gracie,-131.90287372561056,-10,0,-10,0,-1.0,-1.5297532827474924,0,23.0,-2.0,,0
1994-12-16,UFC 4: Revenge of the Warriors,Eldo Dias Xavier,Marcus Bossett,16.5119035965447,0,-1,0,-1,0.0,11.119640473277855,0,,-2.0,,0
1994-12-16,UFC 4: Revenge of the Warriors,Kevin Rosier,Joe Charles,0.033833021120699414,1,1,1,0,0.5,-8.0,399,,3.0,,0
1995-04-07,UFC 5: Return of the Beast,Dan Severn,Dave Beneteau,21.143960165986186,2,1,2,0,0.6666666666666666,36.48629688640608,112,,0.0,,1
1995-04-07,UFC 5: Return of the Beast,Dan Severn,Oleg Taktarov,36.17144512216919,3,1,3,0,0.75,27.364722664804503,0,10.0,2.0,,1
1995-04-07,UFC 5: Return of the Beast,Dave Beneteau,Todd Medina,-15.027484956182889,0,1,0,1,0.0,21.143960165986186,0,,4.0,,1
1995-04-07,UFC 5: Return of the Beast,Joe Charles,Dan Severn,-34.510122762974106,-3,-1,-3,0,0.19999999999999996,-21.85794511072288,112,,-1.0,,0
1995-04-07,UFC 5: Return of the Beast,Oleg Taktarov,Ernie Verdicia,-14.340235709001604,0,1,0,1,0.0,36.17144512216919,0,,2.0,,1
1995-04-07,UFC 5: Return of the Beast,Todd Medina,Larry Cureton,-16.69161002600447,0,1,0,1,0.0,-15.027484956182889,0,,-4.0,,1
1995-04-07,UFC 5: Return of the Beast,Andy Anderson,Jon Hess,0.0,0,0,0,0,0.0,0.0,0,,-13.0,,0
1995-04-07,UFC 5: Return of the Beast,Asbel Cancio,Dave Beneteau,-1.66412506982158,-1,-1,-1,0,-0.5,-10.57198008299315,0,,-4.0,,0
1995-04-07,UFC 5: Return of the Beast,Guy Mezger,John Dowdy,16.0,1,0,1,0,1.0,0.0,112,,-1.0,,1
1995-07-14,UFC 6: Clash of the Titans,David Abbott,Oleg Taktarov,-2.319781794238679,-1,-1,-1,0,-0.5,-18.085722561084594,-98,3.0,0.0,,0
1995-07-14,UFC 6: Clash of the Titans,Dan Severn,Ken Shamrock,32.354488458478954,2,0,2,0,0.08333333333333337,-268.6160402122059,0,6.0,1.0,,0
1995-07-14,UFC 6: Clash of the Titans,Anthony Macias,Oleg Taktarov,-33.96465052487429,-2,0,-2,1,-0.6666666666666666,-6.664885250789553,210,,-2.0,,0
1995-07-14,UFC 6: Clash of the Titans,David Abbott,Paul Varelans,-15.893171687916265,0,1,0,1,0.0,2.319781794238679,0,5.0,-8.0,,1
1995-07-14,UFC 6: Clash of the Titans,Oleg Taktarov,Dave Beneteau,15.066297299126745,1,0,1,0,0.08333333333333337,-1.943049702132953,-98,,-2.0,,1
1995-07-14,UFC 6: Clash of the Titans,Patrick Smith,Rudyard Moncayo,19.90401561664885,3,2,3,0,0.6,6.112825424344692,490,9.0,4.0,,1
1995-07-14,UFC 6: Clash of the Titans,Paul Varelans,Cal Worsham,-16.731397517241135,0,1,0,1,0.0,-15.893171687916265,0,-7.0,10.0,,1
1995-07-14,UFC 6: Clash of the Titans,John Matua,David Abbott,-0.8382258293248697,-1,-1,-1,0,-0.5,-1.1598908971193396,0,,2.0,,0
1995-07-14,UFC 6: Clash of the Titans,Anthony Macias,He-Man Gipson,-30.19253072398294,0,2,0,2,0.0,11.80260830271095,0,,-3.0,,1
1995-07-14,UFC 6: Clash of the Titans,Jack McGlaughlin,Joel Sutton,0.0,0,0,0,0,0.0,0.0,0,7.0,0.0,,0
1995-09-08,UFC 7: The Brawl in Buffalo,Paul Varelans,Marco Ruas,0.038516740516797654,1,1,1,0,0.5,-7.9465858439581325,56,-9.0,7.0,,0
